,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
883,R_1PcO7elvtYbjtwC,Yes,22-39,Female,Europe,friendly to humans and nature,TRUE,Mostly true,Mostly true,Important,Every 3 months,how I fell in it,"cheaper sustainable options, bigger selection of colors","doesnt produce waste, quality material, workers have good working conditions, better quality",Maybe/Not sure,Strongly disagree,TRUE,Agree,0
884,R_u87InLcoJYDFktj,Yes,22-39,Female,North America,Something that is sustainable can be continued without major risks well into the future.,TRUE,TRUE,Mostly true,Very important,Every 6 months,"Until recently, it has been price and whether it is flattering. I would like to make more sustainable choices in the future.","Classic-looking, high quality pieces that were made by people making fair wages (preferably in the US) for a decent price. For example, I would be pleased as punch if Ann Taylor and Banana Republic would use ethical labor practices and keep their prices similar to what they are.","Clothing made by people making fair wages, using materials sourced in a way that was not harmful to the earth",Maybe/Not sure,Disagree,Mostly true,Agree,1
885,R_3fVJXkgt2XQmQg4,Yes,22-39,Female,North America,Process that is healthy for all people involved and the earth. ,TRUE,Mostly true,Mostly true,Very important,Monthly,Use,"High quality, not over-inflated prices, from a transparent company",Made well by companies that spay/treat their workers well and are transparent w pricing ,Yes,Disagree,TRUE,Neutral,1
886,R_1NhrB48g8Ilf08w,Yes,22-39,Female,Europe,Making the choices that contribute to the preservation and fair distribution of our resources.,Mostly true,Neutral,TRUE,Very important,Every 3 months,,,,Yes,Disagree,TRUE,Neutral,1
887,R_3k6NrcOAeJ4e1PN,Yes,22-39,Female,North America,Being able to produce a product that does minimal damage to the environment. Also means giving workers a living wage.,Mostly true,Mostly true,TRUE,Important,Weekly,How often I will wear it and quality,"Clothes that are sustainable and fashionable without being super expensive (I know why it's expensive, so I typically buy vintage)",Ethically creating a lasting product.,Yes,Neutral,Mostly true,Neutral,1
888,R_2VgWXkRqHLkV80G,Yes,22-39,Female,North America,Treating creatures and the environment with respect so that we can all live our best and last as long as possible.,Mostly true,Mostly true,Mostly true,Very important,Every 3 months,Now the most important decisions are brand ethics and cost.,More sustainable items localy. My dream would be to find more item selection for petite women and small chested women like myself. ,Clothing made in ways that actively respect and protect the people making them and that try to limit waste. ,Yes,Disagree,TRUE,Disagree,1
889,R_22lA6seRvWR6m1d,Yes,Under 22,Female,North America,the ability to get one's business afloat by oneself.,Mostly true,Mostly true,TRUE,Important,Every 6 months,Whether or not to directly support the company (directly buy from them) or not support (buy from consignment shops).,"STRIPED PANTS LIKE COUNT OLAF. Just saying- no one sells affordable, ""sustainable"", nice striped pants anymore.","ethical, using only that of which the company is directly involved with (no oversea labor, etc). ",Maybe/Not sure,Neutral,Mostly true,Strongly agree,1
890,R_1ON8IlVbyPlrEoq,Yes,22-39,Female,North America,Creating products in an environmentally friendly way with an eye toward the future of our planet.,TRUE,TRUE,TRUE,Important,Every 3 months,whether the clothes are of good quality and ethically made,exactly what I'm looking for in my size at a thrift store.,Clothing made by a company whose production methods are environmentally friend and who treats its workers properly.,Yes,Neutral,TRUE,Disagree,1
891,R_25yLERgyL3TpGGx,Yes,Under 22,Female,Australia,"Sustainability is living a rich and expressive life today, without compromising the ability of future generations to live such a life tomorrow.",TRUE,Mostly true,Mostly true,Very important,Every 3 months,How much use I think I will get out of an item,"I wish it were easier to find well-made, sustainable clothing without doing mountains of research haha.",Sustainable clothing is made from products which are friendly to the environment and produced in an ethical manner.,Yes,Disagree,Mostly true,Disagree,1
892,R_2VCG8JL3BsSY4fE,Yes,22-39,Female,Europe,"only use as much raw material as can be produced. in means protect the world, so that future ganarations have all opportunities as we had to live. 
don't destroy anything on purpose. thake care ond nature, and people. 
Sustanability has three topics. Economic, ecologic, and sociality. the best solution respects all three components
",Mostly true,TRUE,Mostly true,Important,Monthly,the appearance of the Cloth,a logo witch help me to buy sustanable. or eaven ethically,bio. Fair wages. ecolocical handling of the chemical products. ,No,Strongly disagree,TRUE,Strongly disagree,0
893,R_28XSnKZHbMEWI9C,Yes,22-39,Female,Europe,"Environmentally friendly, people paid living wage or better, good work conditions. Education comes before work for children ",Mostly true,Mostly true,Mostly not true,Important,Every 3 months,How it looks,Conveniently available ethical clothing ,"environmentally neutral, good working/economic practices. Long lasting ",Maybe/Not sure,Strongly disagree,Mostly true,Agree,0
895,R_22ucmY8e0kqZ3A1,Yes,22-39,Female,South America,That does not harm the environment and do good for your health,TRUE,Mostly true,Mostly true,Very important,Yearly,"Ethical brands, comfort and affordable price","I hope to find clothes that have my style, while being comfortable, made by well-paid people and the company has a good and ethical history.","Clothes made with materials of organic origin, not made of animals and without slaves.",Maybe/Not sure,Disagree,TRUE,Agree,0
896,R_2aLz2FZGhrXOdbe,Yes,22-39,Female,North America,"Just, fair, environmentally conscious -- does not do more harm than good",TRUE,Mostly true,Mostly true,Very important,Monthly,how i feel when wearing it,clothing that flatters my figure/body type; affordable but high-quality clothing,clothing that is produced using environmentally friendly processes and ethical labor practices,Maybe/Not sure,Disagree,TRUE,Disagree,1
897,R_27cVhIzw5OkxlKj,Yes,Under 22,Female,North America,A,Mostly true,Neutral,Mostly true,Important,Everyday!,Is it cute and would I wear it ,Nice jeans?,,Maybe/Not sure,Disagree,TRUE,Neutral,1
898,R_2VwmTlFkRqQfYNJ,Yes,22-39,Female,Europe,,Mostly true,Neutral,Mostly true,Very important,Every 3 months,Quality ,Quality sustainable vegan fit,,Yes,Strongly disagree,TRUE,Agree,1
900,R_1gMi8eqA1iNda4R,Yes,39-52,Female,North America,"Little to no negative environmental impact. Fair trade, ethical, green, eco-friendly. ",TRUE,TRUE,TRUE,Very important,Monthly,How much will I wear it?,More ethically and sustainably made footwear and outerwear brands.,"Recycled, eco-friendly and/or ethically sourced.",Yes,Disagree,TRUE,Disagree,1
901,R_3fPKlVR4ldxObRJ,Yes,Under 22,Female,Europe,,TRUE,Neutral,Mostly true,Important,Monthly,,,,Yes,Disagree,Mostly true,Neutral,1
902,R_3qxM6mfUA9jd2y0,Yes,22-39,Female,North America,"Practices that are made to last the test of time, that are good for all those involved and for the earth, so that future generations can continue on as we have.",Mostly true,Mostly not true,Mostly not true,Important,Monthly,Style,"Fair trade, organic materials, that are not just made in a 'hippie' style.","Clothing that is well-made and will last a long time, made by paying fair wages to the workers, and in a way that is environmentally-friendly.",Yes,Neutral,TRUE,Disagree,1
903,R_rkh339VVVueGT3H,Yes,22-39,Female,North America,"Making the least amount of impact to the overall ecology - human, plant, animal, biosphere etc. Wellbeing for all.",TRUE,Mostly true,TRUE,Important,Every 3 months,,easier to find sustainable/clean supply chain clothing - I wish these issues were more transparent,clean supply chain. not negatively impacting an animal's life. using renewable resources.,Yes,Strongly disagree,Mostly true,Agree,1
904,R_2Ph9Cad9HQHtL8r,Yes,22-39,Female,North America,Quality over quantity -- premium and recycled fabrics as well as making conscious decisions about purchases that will last longer,TRUE,TRUE,TRUE,Very important,Monthly,Ethically sourced but also stylish,More transparency about where clothing is made,"Quality fabrics, classic styles",Yes,Agree,TRUE,Disagree,1
905,R_R7Sy1U65CtzfAjf,Yes,22-39,Female,North America,"The environmental, social and economic well-being of the planet and all its inhabitants. This includes the future well-being of the planet and its inhabitants. An equal and just well-being that does away with economic disparities that favour economic wealth with positive social impacts and cleaner environments while the poor must withstand the repercussions of ""progress"" namely through adverse environmental and social impacts. ",TRUE,TRUE,TRUE,Very important,Monthly,"longevity (not super trend driven, a piece that suits me, is different and that i will wear for at least 5 years), need, fabric content, country of origin.","quality clothing that isn't extremely expensive. There appears to be a huge disparity, as expensive clothing does not necessarily equate with quality and cheap clothing is almost certainly terrible quality. Finding clothing that falls in that pricing middle ground that is of good quality is nearly impossible.","in a perfect world, the elimination of environmental and social impacts with disposal solutions designed into the clothes and consumer behaviour taken into account. A holistic approach that integrates sustainable business models, production, consumer engagement and disposal. ",Yes,Neutral,Mostly true,Neutral,1
906,R_eIMPY4uI3wWarV7,Yes,Under 22,Female,North America,Companies that pay the people who make their products fair and that their workig conditions are healthy. ,TRUE,TRUE,TRUE,Very important,Monthly,Is it a need or a want ,vegan and fair trade clothing. ,Clothing that doesn't have a negative impact on the world in how it is made or packaged in.,Maybe/Not sure,Strongly disagree,TRUE,Disagree,1
907,R_SCY6bnk8GxA4v5v,Yes,22-39,Female,North America,The most important part of buying the products that ethically made and earthly safe,TRUE,TRUE,TRUE,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
909,R_uvSfzlsKzBSrHB7,Yes,22-39,Female,North America,,TRUE,Neutral,Mostly true,Important,Every 6 months,Price and quality,less expensive sustainable clothing,,Maybe/Not sure,Disagree,TRUE,Agree,1
910,R_uafu74Bhim7PZKx,Yes,22-39,Female,North America,"The ability to create or exist without negatively impacting others, or the environment. Giving back as much as you take.",TRUE,TRUE,TRUE,Very important,Every 3 months,Which brand to buy from,"Clear, reliable information on where the clothes are coming from, and what the company does to give back to their community and environment","Clothing that is created and sold without negatively impacting others, or the environment",Maybe/Not sure,Disagree,TRUE,Neutral,1
